"","Taxon","maximum.height","source"
"17","Aristolochia elegans",3,"http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&state=wa&s=&region=ck&card=V14"
"29","Calamus muelleri",10,"NSW flora Online"
"35","Capparis velutina",15,"AUSTRAITS_dataset_49"
"38","Carronia multisepalea",15,"AUSTRAITS_dataset_49"
"42","Cayratia clematidea",2,"AUSTRAITS_dataset_10"
"46","Cissus antarctica",2,"AUSTRAITS_dataset_8"
"47","Cissus hypoglauca",15,"AUSTRAITS_dataset_8"
"50","Clematis aristata",8,"AUSTRAITS_dataset_8"
"68","Derris involuta",20,"NSW flora online"
"69","Dioscorea transversa",1.5,"AUSTRAITS_dataset_8"
"100","Flagellaria indica",2,"AUSTRAITS_dataset_52"
"102","Geitonoplesium cymosum",3,"AUSTRAITS_dataset_10"
"109","Hippocratea barbata",1.3,"AUSTRAITS_dataset_8"
"123","Maclura cochinchinensis",15,"AUSTRAITS_dataset_49"
"127","Marsdenia rostrata",1.8,"AUSTRAITS_dataset_8"
"136","Morinda jasminoides",20,"AUSTRAITS_dataset_8"
"143","Pandorea pandorana",1.6,"AUSTRAITS_dataset_8"
"145","Parsonsia straminea",17,"AUSTRAITS_dataset_8"
"146","Passiflora edulis",5,"AUSTRAITS_dataset_10"
"167","Rubus rosifolius",1,"AUSTRAITS_dataset_8"
"174","Smilax australis",4,"AUSTRAITS_dataset_8"
"176","Stephania japonica",1,"J. Lawson fieldwork"
