"","Taxon","flowering.duration","leaf.area","maximum.height","seed.mass","SLA","wood.density"
"1","Acacia.bakeri",3,16.6565,40,55.2395,NA,0.7725
"2","Acacia.fimbriata",5,NA,6,21.1313288488754,8.88,NA
"3","Acmena.smithii",4,21.7242222222222,20,239.893016400627,9.14974537422924,0.647333333333333
"4","Acronychia.oblongifolia",2,20.725,20,14.3107843136667,14.6306891404816,0.67375
"5","Ailanthus.triphysa",NA,7.1875,45,37.699,NA,0.3705
"6","Alangium.polyosmoides",6,NA,NA,NA,NA,NA
"7","Alangium.villosum",NA,35.376875,20,191.78,17.7726204400914,0.556833333333333
"8","Alchornea.ilicifolia",NA,17.385,7,19.652830226593,NA,NA
"9","Alectryon.tomentosus",NA,23.625,20,23.7102552931315,NA,NA
"10","Alphitonia.excelsa",NA,22.8609230769231,35,20.1637488062229,10.7194951001478,0.598
"11","Alyxia.ruscifolia",9,3.63333333333333,6,142.89354273591,NA,NA
"12","Aphananthe.philippinensis",NA,8.92,35,36.4741591356523,13.9625802848366,0.58125
"13","Araucaria.cunninghamii",NA,0.4845,50,NA,NA,0.448666666666667
"14","Archidendron.muellerianum",2,21.8165,20,NA,NA,NA
"15","Archirhodomyrtus.beckleri",3,9.23016666666667,10,1.495,11.1642728551336,0.53
"16","Ardisia.crenata",NA,NA,NA,221,NA,NA
"17","Argophyllum.nullumense",1,24.5,8,NA,NA,NA
"18","Aristolochia.elegans",NA,NA,NA,2.104,NA,NA
"19","Arytera.distylis",NA,10.25,20,NA,NA,0.6321
"20","Arytera.divaricata",NA,38.1896666666667,30,59.7,10.9510776802351,0.6115
"21","Atalaya.salicifolia",NA,13.781,12,33.27,NA,0.724
"22","Atractocarpus.chartaceus",4,11.96,4,NA,NA,NA
"23","Auranticarpa.rhombifolia",6,23.8,40,NA,NA,0.700633333333333
"24","Backhousia.myrtifolia",3,8.08766666666667,35,10.9135,10.261364975,0.8167649335
"25","Beilschmiedia.obtusifolia",NA,26.5933333333333,35,384,10.9878035380727,0.637
"26","Breynia.oblongifolia",3,3.69066666666667,8,6.744,12.95235,0.62
"27","Bridelia.exaltata",NA,20.3275,35,NA,NA,0.711666666666667
"28","Bridelia.leichhardtii",NA,10.264,15,NA,NA,NA
"29","Bursaria.incana",3,3.2375,10,2.927,NA,0.74
"30","Calamus.muelleri",3,53.60875,NA,443.925,13.04292449962,NA
"31","Callerya.megasperma",3,9.72825,NA,7385.3471161391,NA,NA
"32","Callistemon.salignus",3,NA,6,0.0483264695868348,NA,0.839
"33","Callistemon.viminalis",7,NA,NA,0.373767044854716,NA,0.689
"34","Canarium.australasicum",NA,23.8,40,678.88,NA,0.584
"35","Capparis.arborea",3,24.978125,10,49.052,8.89331889806067,0.681
"36","Capparis.velutina",NA,18.9,NA,39.27,NA,NA
"37","Carex.appressa",4,28.4466666666667,1.5,0.9155,14.14,NA
"38","Carissa.ovata",3,4.185,4,50.76,NA,NA
"39","Carronia.multisepala",NA,45.535,NA,62.832,NA,NA
"40","Castanospermum.australe",3,32.7298,35,13487.4390112089,11.9643600877801,0.61475
"41","Casuarina.cunninghamiana",12,0.132333333333333,25,1.1005,2.883280076,0.67705014825
"42","Casuarina.littoralis",NA,NA,12,3.119,4.57,NA
"43","Cayratia.clematidea",3,6.07666666666667,NA,24.4743333333333,41.0871312695242,NA
"44","Celtis.sinensis",12,93.2,15,47.44,19.6618167518679,0.59
"45","Cestrum.nocturnum",6,NA,NA,3.236,NA,NA
"46","Cinnamomum.camphora",NA,NA,NA,92.5,NA,NA
"47","Cinnamomum.oliveri",NA,24.285,25,NA,NA,0.473
"48","Cissus.antarctica",9,38.0355,NA,65.4,16.0277824201773,0.545107896
"49","Cissus.hypoglauca",6,15.908,NA,37.7593333333333,14.3654221673765,NA
"50","Citronella.moorei",5,35.875,40,NA,NA,0.576
"51","Cleistanthus.cunninghamii",NA,23.1304285714286,25,NA,11.9554230769231,0.643725
"52","Clematis.aristata",4,26.5502857142857,NA,3.993,21.9402300906107,0.2981
"53","Clerodendrum.floribundum",5,65.691,13,43.7,NA,NA
"54","Commersonia.bartramia",NA,52.6966666666667,25,9.5,11.5035085701139,0.4205
"55","Croton.acronychioides",NA,19.6,14,NA,NA,NA
"56","Cryptocarya.bidwillii",NA,17.85,20,NA,NA,0.645
"57","Cryptocarya.glaucescens",2,25.770375,45,323.99,10.4506666666667,0.5472
"58","Cryptocarya.laevigata",NA,22.96775,7,NA,11.4850264367816,NA
"59","Cryptocarya.macdonaldii",NA,30.8,30,NA,NA,NA
"60","Cryptocarya.obovata",NA,18.45,45,NA,NA,0.51035
"61","Cryptocarya.sclerophylla",NA,14,15,NA,NA,NA
"62","Cryptocarya.triplinervis",NA,15.405,NA,263.884307802667,10.673497705198,0.65
