"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","leaf.area",1.19523149781479e-05,0.36979,1.75337110564863e-05,0.41387,8.36662048470353e-05,0.000122735977395404
"value13","wood.density",0,1,0,1,0,0
"value12","flowering.duration",0.0175661023427627,0.12703,0.026903340512573,0.16169,0.0491850865597354,0.0329975153471347
"value11","seed.mass",0.0645502745195472,0.079014,0.033093100915711,0.15318,0.146551275041561,0.0356387240630734
"value10","SLA",0.00569115520876799,0.16822,0.0197057170629126,0.17432,0.0199190432306879,0.0329975153471347
"value9","hydro.pc1",0.686424775047107,0.0039193,0.0282835845832583,0.15964,0.873631531878137,0.0329975153471347
"value8","M_MaxM",0.82361895548045,0.0011963,0.0385215681384181,0.14688,0.886974259748177,0.0385215681384181
"value7","M_MinM",0.0732756375207806,0.07438,0.0274316028116325,0.16089,0.146551275041561,0.0329975153471347
"value6","M_MDFM",0.816519109130847,0.0012963,0.0145796158378636,0.18637,0.886974259748177,0.0329975153471347
"value5","C_MDFM",0.00139177750266972,0.21816,0.00523150439904885,0.22605,0.00649496167912534,0.018310265396671
"value4","LSMeanDur",0.341270601948025,0.021585,0.0141781187807164,0.18748,0.477778842727236,0.0329975153471347
"value3","CVAnnHSMeanDur",0.272113816329834,0.028641,0.0215920087993016,0.17063,0.423288158735297,0.0329975153471347
"value2","CVMDFDry",0.192760184894066,0.040048,0.00394941450948612,0.23659,0.337330323564615,0.018310265396671
"value1","CVMDFWet",0.905554686855871,0.00033913,0.0197843231083527,0.17416,0.905554686855871,0.0329975153471347
